Name 	HTML (HEX) Code 	Red (RGB) (0 - 255) 	Green (RGB) (0 - 255) 	Blue (RGB) (0 - 255) 	Hue (HSL) (0 - 360) 	Sat (HSL) (0 - 100) 	Lum (HSL) (0 - 10)
Amaranth 		#E52B50 	229 	43 	80 	348* 	73% 	53%
Amber 		#FFBF00 	255 	191 	0 	045* 	100% 	50%
Amethyst 		#9966CC 	153 	102 	204 	270* 	50% 	60%
Apricot 		#FBCEB1 	251 	206 	177 	024* 	90% 	84%
Aquamarine 		#7FFFD4 	127 	255 	212 	160* 	100% 	75%
Azure 		#007FFF 	0 	127 	255 	210* 	100% 	50%
Baby blue 		#89CFF0 	137 	207 	240 	199* 	77% 	74%
Beige 		#F5F5DC 	245 	245 	220 	060* 	56% 	91%
Black 		#000000 	0 	0 	0 	any 	any 	0%
Blue 		#0000FF 	0 	0 	255 	240* 	100% 	50%
Blue-green 		#0095B6 	0 	149 	182 	191* 	100% 	36%
Blue-violet 		#8A2BE2 	138 	43 	226 	271* 	76% 	53%
Blush 		#DE5D83 	222 	93 	131 	342* 	66% 	62%
Bronze 		#CD7F32 	205 	127 	50 	030* 	61% 	50%
Brown 		#964B00 	150 	75 	0 	030* 	100% 	29%
Burgundy 		#800020 	128 	0 	32 	345* 	100% 	25%
Byzantium 		#702963 	112 	41 	99 	311* 	46% 	30%
Carmine 		#960018 	150 	0 	24 	350* 	100% 	29%
Cerise 		#DE3163 	222 	49 	99 	343* 	72% 	53%
Cerulean 		#007BA7 	0 	123 	167 	196* 	100% 	33%
Champagne 		#F7E7CE 	247 	231 	206 	037* 	72% 	89%
Chartreuse green 		#7FFF00 	127 	255 	0 	090* 	100% 	50%
Chocolate 		#7B3F00 	123 	63 	0 	031* 	100% 	24%
Cobalt blue 		#0047AB 	0 	71 	171 	215* 	100% 	34%
Coffee 		#6F4E37 	111 	78 	55 	025* 	34% 	33%
Copper 		#B87333 	184 	115 	51 	029* 	57% 	46%
Coral 		#F88379 	248 	131 	121 	005* 	90% 	72%
Crimson 		#DC143C 	220 	20 	60 	348* 	83% 	47%
Cyan 		#00FFFF 	0 	255 	255 	180* 	100% 	50%
Desert sand 		#EDC9Af 	237 	201 	175 	025* 	63% 	81%
Electric blue 		#7DF9FF 	125 	249 	255 	183* 	100% 	75%
Emerald 		#50C878 	80 	200 	120 	140* 	52% 	55%
Erin 		#00FF3F 	0 	255 	63 	135* 	100% 	50%
Gold 		#FFD700 	255 	215 	0 	051* 	100% 	50%
Gray 		#808080 	128 	128 	128 	any 	0% 	50%
Green 		#00FF00 	0 	255 	0 	120* 	100% 	50%
Harlequin 		#3FFF00 	63 	255 	0 	105* 	100% 	50%
Indigo 		#4B0082 	75 	0 	130 	275* 	100% 	25%
Ivory 		#FFFFF0 	255 	255 	240 	060* 	100% 	97%
Jade 		#00A86B 	0 	168 	107 	158* 	100% 	33%
Jungle green 		#29AB87 	41 	171 	135 	163* 	61% 	42%
Lavender 		#B57EDC 	181 	126 	220 	275* 	57% 	68%
Lemon 		#FFF700 	255 	247 	0 	058* 	100% 	50%
Lilac 		#C8A2C8 	200 	162 	200 	300* 	26% 	71%
Lime 		#BFFF00 	191 	255 	0 	075* 	100% 	50%
Magenta 		#FF00FF 	255 	0 	255 	300* 	100% 	50%
Magenta rose 		#FF00AF 	255 	0 	175 	319* 	100% 	50%
Maroon 		#800000 	128 	0 	0 	000* 	100% 	25%
Mauve 		#E0B0FF 	224 	176 	255 	276* 	100% 	85%
Navy blue 		#000080 	0 	0 	128 	240* 	100% 	25%
Ocher 		#CC7722 	204 	119 	34 	030* 	71% 	47%
Olive 		#808000 	128 	128 	0 	060* 	100% 	25%
Orange 		#FFA500 	255 	165 	0 	039* 	100% 	50%
Orange-red 		#FF4500 	255 	69 	0 	016* 	100% 	50%
Orchid 		#DA70D6 	218 	112 	214 	302* 	59% 	65%
Peach 		#FFE5B4 	255 	229 	180 	039* 	100% 	85%
Pear 		#D1E231 	209 	226 	49 	066* 	75% 	54%
Periwinkle 		#CCCCFF 	204 	204 	255 	240* 	100% 	90%
Persian blue 		#1C39BB 	28 	57 	187 	229* 	74% 	42%
Pink 		#FFC0CB 	255 	192 	203 	350* 	100% 	88%
Plum 		#8E4585 	142 	69 	133 	307* 	35% 	41%
Prussian blue 		#003153 	0 	49 	83 	205* 	100% 	16%
Puce 		#CC8899 	204 	136 	153 	345* 	40% 	67%
Purple 		#800080 	128 	0 	128 	300* 	100% 	25%
Raspberry 		#E30B5C 	227 	11 	92 	339* 	91% 	47%
Red 		#FF0000 	255 	0 	0 	000* 	100% 	50%
Red-violet 		#C71585 	199 	21 	133 	322* 	81% 	43%
Rose 		#FF007F 	255 	0 	127 	330* 	100% 	50%
Ruby 		#E0115F 	224 	17 	95 	343* 	77% 	44%
Salmon 		#FA8072 	250 	128 	114 	006* 	93% 	71%
Sangria 		#92000A 	146 	0 	10 	356* 	100% 	29%
Sapphire 		#0F52BA 	15 	82 	186 	216* 	85% 	39%
Scarlet 		#FF2400 	255 	36 	0 	008* 	100% 	50%
Silver 		#C0C0C0 	192 	192 	192 	any 	0% 	75&
Slate gray 		#708090 	112 	128 	144 	210* 	13% 	50%
Spring bud 		#A7FC00 	167 	252 	0 	080* 	100% 	49%
Spring green 		#00FF7F 	0 	255 	127 	150* 	100% 	50%
Tan 		#D2B48C 	210 	191 	140 	044* 	44% 	69%
Taupe 		#483C32 	72 	60 	50 	027* 	18% 	24%
Teal 		#008080 	0 	128 	128 	180* 	100% 	25%
Turquoise 		#40E0D0 	64 	224 	208 	174* 	72% 	56%
